HPO term_id,HPO_term_name,phecode,phecode string,class,suppress?,# of Mendelian diseases tested with this phenotype for this study
6094,Finger joint hypermobility,728.2,Laxity of ligament or hypermobility syndrome,,0,0
6095,Wide tufts of distal phalanges,,-,,-,0
6097,3-4 finger syndactyly,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6099,Metacarpophalangeal joint hyperextensibility,728.2,Laxity of ligament or hypermobility syndrome,,0,0
6101,Finger syndactyly,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6107,Fingerpad telangiectases,448,Disease of capillaries,,0,2
6109,Absent phalangeal crease,,-,Congenital,-,0
6110,Shortening of all middle phalanges of the fingers,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6112,Expanded phalanges with widened medullary cavities,,-,,-,0
6114,Multiple palmar creases,,-,,-,0
6118,Shortening of all distal phalanges of the fingers,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6119,Proximal tapering of metacarpals,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6121,Acral ulceration leading to autoamputation of digits,,-,,-,0
6127,Long proximal phalanx of finger,,-,,-,0
6129,Drumstick terminal phalanges,,-,,-,0
6140,Premature fusion of phalangeal epiphyses,,-,,-,0
6143,Abnormal finger flexion creases,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6144,Shortening of all proximal phalanges of the fingers,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6145,Central Y-shaped metacarpal,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6146,Broad metacarpal epiphyses,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6147,Progressive fusion 2nd-5th pip joints,,-,,-,0
6149,Increased laxity of fingers,728.2,Laxity of ligament or hypermobility syndrome,,0,0
6150,Swan neck-like deformities of the fingers,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6152,Proximal symphalangism (hands),755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6155,Long phalanx of finger,,-,,-,0
6158,Finger joint hyperextensibility,728.2,Laxity of ligament or hypermobility syndrome,,0,0
6159,Mesoaxial hand polydactyly,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6160,Irregular metacarpals,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6161,Short metacarpals with rounded proximal ends,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6162,Soft tissue swelling of interphalangeal joints,741.4,Joint effusions,,0,0
6163,Enlarged metacarpophalangeal joints,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6165,Proportionate shortening of all digits,,-,,-,0
6172,"Flattened, squared-off epiphyses of tubular bones",,-,,-,0
6174,Metacarpal diaphyseal endosteal sclerosis,,-,Congenital,-,0
6176,Two carpal ossification centers present at birth,,-,Congenital,-,0
6179,Pseudoepiphyses of second metacarpal,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6180,Crowded carpal bones,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6184,Decreased palmar creases,,-,,-,0
6185,Enlarged proximal interphalangeal joints,,-,,-,0
6187,Fusion of midphalangeal joints,,-,,-,0
6190,Radially deviated wrists,736.1,Acquired deformities of forearm,Congenital,1,0
6191,Deep palmar crease,,-,,-,0
6193,Thimble-shaped middle phalanges of hand,,-,,-,0
6200,Widened distal phalanges,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6201,Hypermobility of distal interphalangeal joints,728.2,Laxity of ligament or hypermobility syndrome,,0,1
6203,Decreased movement range in interphalangeal joints,741.2,Stiffness of joint,,0,0
6206,Hypersegmentation of proximal phalanx of second finger,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6207,Partial fusion of carpals,,-,,-,0
6208,Metaphyseal cupping of proximal phalanges,,-,,-,0
6213,Thin proximal phalanges with broad epiphyses of the hand,,-,,-,0
6216,Single interphalangeal crease of fifth finger,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6217,Limited mobility of proximal interphalangeal joint,741.2,Stiffness of joint,,0,1
6224,Tapering pointed ends of distal finger phalanges,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6228,Valgus hand deformity,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6232,Expanded metacarpals with widened medullary cavities,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6234,Osteolysis involving tarsal bones,,-,,-,0
6236,Slender metacarpals,,-,,-,0
6237,Prominent interphalangeal joints,,-,,-,0
6243,Phalangeal dislocation,830,Dislocation,,0,0
6247,Enlarged interphalangeal joints,,-,,-,0
6248,Limited wrist movement,741.2,Stiffness of joint,,0,0
6251,Limited wrist extension,741.2,Stiffness of joint,,0,0
6252,Interphalangeal joint erosions,,-,,-,0
6253,Swelling of proximal interphalangeal joints,741.4,Joint effusions,,0,0
6254,Elevated alpha-fetoprotein,,-,,-,0
6262,Aplasia/Hypoplasia of the 5th finger,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6266,Small placenta,,-,Pregnancy-related,-,0
6267,Large placenta,,-,Pregnancy-related,-,0
6268,Fluctuating splenomegaly,579.2,Splenomegaly,,0,0
6270,Hypoplastic spleen,759,Other and unspecified congenital anomalies,Congenital,1,0
6274,Reduced pancreatic beta cells,,-,,-,0
6276,Hyperechogenic pancreas,577,Diseases of pancreas,,0,0
6277,Pancreatic hyperplasia,251.1,Hypoglycemia,,0,0
6279,Beta-cell dysfunction,,-,,-,0
6280,Chronic pancreatitis,577.2,Chronic pancreatitis,,0,3
6285,Hypomineralization of enamel,521.2,"Dental abrasion, erosion and attrition",,0,0
6286,Yellow-brown discoloration of the teeth,,-,,-,0
6288,Advanced eruption of teeth,520.2,Disturbances in tooth eruption,Pediatric,1,0
6297,Hypoplasia of dental enamel,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
6298,Prolonged bleeding after dental extraction,,-,,-,0
6302,Dagger-shaped pulp calcifications,,-,,-,0
6308,Atrophy of alveolar ridges,,-,,-,0
6311,Generalized microdontia,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
6315,Single median maxillary incisor,520.2,Disturbances in tooth eruption,Congenital,1,0
6316,Irregularly spaced teeth,524.3,Anomalies of tooth position/malocclusion,,0,1
6323,Premature loss of primary teeth,525.1,Loss of teeth or edentulism,Pediatric,1,0
6332,Supernumerary maxillary incisor,520.2,Disturbances in tooth eruption,Congenital,1,0
6334,Hypoplasia of the primary teeth,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
6335,Persistence of primary teeth,520.2,Disturbances in tooth eruption,Pediatric,1,0
6342,Peg-shaped maxillary lateral incisors,,-,,-,0
6344,Abnormality of primary molar morphology,,-,Pediatric,-,0
6346,Screwdriver-shaped incisors,,-,,-,0
6347,Microdontia of primary teeth,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
6349,Agenesis of permanent teeth,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
6350,Obliteration of the pulp chamber,522.1,Pulpitis and necrosis of tooth pulp,,0,0
6352,Failure of eruption of permanent teeth,520.2,Disturbances in tooth eruption,Pediatric,1,0
6353,Hypoplasia of the tooth germ,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
6355,Agenesis of mandibular central incisor,520.2,Disturbances in tooth eruption,Congenital,1,0
6357,Premature loss of permanent teeth,525.1,Loss of teeth or edentulism,,0,1
6361,Irregular femoral epiphysis,,-,,-,0
6362,Varus deformity of humeral neck,,-,,-,0
6367,Crumpled long bones,,-,,-,0
6368,Forearm reduction defects,,-,,-,0
6375,Dumbbell-shaped femur,,-,,-,0
6376,Limited elbow flexion,,-,,-,0
6379,Proximal tibial hypopolasia,,-,,-,0
6380,Knee flexion contracture,739,Contracture of joint,,0,4
6381,Rudimentary fibula,,-,,-,0
6384,Club-shaped distal femur,,-,,-,0
6385,Short lower limbs,,-,,-,0
6386,Hypoplastic distal radial epiphyses,,-,Congenital,-,0
6387,Wide distal femoral metaphysis,,-,,-,0
6389,Limited knee flexion,,-,,-,0
6390,Anterior tibial bowing,736.4,Genu valgum or varum (acquired),Pediatric,1,0
6391,Overtubulated long bones,,-,,-,0
6392,Increased density of long bones,,-,,-,0
6394,Limited pronation/supination of forearm,,-,,-,0
6397,Lateral displacement of patellae,,-,,-,0
6398,Flat distal femoral epiphysis,,-,,-,0
6400,Absent knee epiphyses,,-,Congenital,-,0
6402,Distal shortening of limbs,,-,Pediatric,-,0
6406,Club-shaped proximal femur,,-,,-,0
6407,Irregular distal femoral epiphysis,,-,,-,0
6408,Distal tapering femur,,-,,-,0
6414,Distal tibial bowing,736.4,Genu valgum or varum (acquired),Pediatric,1,0
6415,Cortically dense long tubular bones,,-,,-,0
6417,Broad femoral metaphyses,,-,,-,0
6424,Elongated radius,,-,,-,0
6429,Broad femoral neck,,-,,-,0
6431,Proximal femoral metaphyseal abnormality,,-,,-,0
6432,Trapezoidal distal femoral condyles,,-,,-,0
6434,Hypoplasia of proximal radius,,-,Congenital,-,0
6436,Shortening of the tibia,,-,,-,0
6437,Disproportionate prominence of the femoral medial condyle,,-,,-,0
6438,Enlargement of the distal femoral epiphysis,,-,,-,0
6439,Radioulnar dislocation,830,Dislocation,,0,0
6440,Increased density of long bone diaphyses,,-,,-,0
6442,Hypoplasia of proximal fibula,,-,Congenital,-,0
6443,Patellar aplasia,,-,Congenital,-,0
6446,Dysplastic patella,,-,Congenital,-,0
6450,Multicentric ossification of proximal femoral epiphyses,,-,,-,0
6453,Lateral displacement of the femoral head,,-,,-,0
6454,Delayed patellar ossification,,-,Pediatric,-,0
6456,Irregular proximal tibial epiphyses,,-,,-,0
6459,Dorsal subluxation of ulna,830,Dislocation,,0,0
6460,Increased laxity of ankles,728.2,Laxity of ligament or hypermobility syndrome,,0,0
6461,Proximal femoral epiphysiolysis,,-,,-,0
6462,Generalized bone demineralization,743,"Osteoporosis, osteopenia and pathological fracture",,0,0
6465,Periosteal thickening of long tubular bones,,-,,-,0
6466,Ankle contracture,739,Contracture of joint,,0,1
6467,Limited shoulder movement,741.2,Stiffness of joint,,0,0
6471,Fixed elbow flexion,,-,,-,0
6473,Anterior bowing of long bones,,-,Pediatric,-,0
6477,Abnormality of the alveolar ridges,,-,,-,0
6480,Premature loss of teeth,525.1,Loss of teeth or edentulism,,0,2
6481,Abnormality of primary teeth,,-,Pediatric,-,0
6482,Abnormality of dental morphology,,-,,-,0
6483,Abnormal number of teeth,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
6485,Agenesis of incisor,520.2,Disturbances in tooth eruption,Congenital,1,0
6487,Bowing of the long bones,736,Other acquired deformities of limbs,Pediatric,1,0
6489,Abnormality of the femoral metaphysis,,-,,-,0
6492,Aplasia/Hypoplasia of the fibula,,-,Congenital,-,0
6495,Aplasia/Hypoplasia of the ulna,,-,Congenital,-,0
6498,Aplasia/Hypoplasia of the patella,,-,Congenital,-,0
6499,Abnormality of femoral epiphysis,,-,,-,0
6501,Aplasia/Hypoplasia of the radius,,-,Congenital,-,0
6502,Aplasia/Hypoplasia involving the carpal bones,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
6507,Aplasia/hypoplasia of the humerus,,-,Congenital,-,0
6510,Chronic obstructive pulmonary disease,496,Chronic airway obstruction,,0,2
6511,Laryngeal stridor,473.3,Paralysis/spasm of vocal cords or larynx,,0,0
6514,Intraalveolar nodular calcifications,504,Other alveolar and parietoalveolar pneumonopathy,,0,1
6515,Interstitial pneumonitis,504.1,Idiopathic fibrosing alveolitis,,0,2
6517,Alveolar proteinosis,504,Other alveolar and parietoalveolar pneumonopathy,,0,4
6518,Pulmonary venoocclusive disease,415.2,Chronic pulmonary heart disease,,0,1
6519,Alveolar cell carcinoma,165.1,Cancer of bronchus; lung,,0,1
6520,Progressive pulmonary function impairment,512.9,Other dyspnea,,0,1
6521,Pulmonary lymphangiectasia,450,Noninfectious disorders of lymphatic channels,,0,0
6525,Lung segmentation defects,,-,Congenital,-,0
6528,Chronic lung disease,496,Chronic airway obstruction,,0,3
6530,Interstitial pulmonary disease,504.1,Idiopathic fibrosing alveolitis,,0,5
6531,Pleural lymphangiectasia,450,Noninfectious disorders of lymphatic channels,,0,0
6532,Recurrent pneumonia,480,Pneumonia,,0,14
6536,Obstructive lung disease,496,Chronic airway obstruction,,0,0
6538,Recurrent bronchopulmonary infections,483,Acute bronchitis and bronchiolitis,,0,1
6543,Cardiorespiratory arrest,427.42,Cardiac arrest,,0,1
6548,Pulmonary arteriovenous malformation,747.13,Congenital anomalies of great vessels,Congenital,1,0
6549,Unilateral primary pulmonary dysgenesis,,-,Congenital,-,0
6554,Acute hepatic failure,573.4,Acute and subacute necrosis of liver,,0,4
6555,Diffuse hepatic steatosis,571.5,Other chronic nonalcoholic liver disease,,0,0
6557,Polycystic liver disease,750.22,"Congenital anomaly of gallbladder, bile ducts, liver, pancreas",Congenital,1,0
6558,Decreased mitochondrial complex III activity in liver tissue,,-,,-,0
6559,Hepatic calcification,573,Other disorders of liver,,0,0
6561,Lipid accumulation in hepatocytes,,-,,-,0
6562,Viral hepatitis,070,Viral hepatitis,,0,1
6563,Malformation of the hepatic ductal plate,,-,Congenital,-,0
6564,Fluctuating hepatomegaly,573.3,Hepatomegaly,,0,0
6565,Increased hepatocellular lipid droplets,,-,,-,0
6568,Increased hepatic glycogen content,,-,,-,0
6571,Reduced number of intrahepatic bile ducts,,-,,-,0
6572,Subacute progressive viral hepatitis,070,Viral hepatitis,,0,1
6573,Acute hepatic steatosis,571.5,Other chronic nonalcoholic liver disease,,0,1
6574,Hepatic arteriovenous malformation,747,Cardiac and circulatory congenital anomalies,Congenital,1,0
6575,Intrahepatic cholestasis with episodic jaundice,575.2,Obstruction of bile duct,,0,1
6576,Hepatic vascular malformations,,-,Congenital,-,0
6579,Prolonged neonatal jaundice,656.8,Perinatal jaundice,Infantile,1,0
6580,Portal fibrosis,571.51,Cirrhosis of liver without mention of alcohol,,0,2
6581,Depletion of mitochondrial DNA in liver,,-,,-,0
6582,Reye syndrome-like episodes,,-,,-,0
6583,Fatal liver failure in infancy,,-,Infantile,-,0
6584,Small abnormally formed scapulae,,-,,-,0
6585,Congenital pseudoarthrosis of the clavicle,733.8,Malunion and nonunion of fracture,Congenital,1,0
6587,Straight clavicles,,-,,-,0
6589,Flaring of lower rib cage,,-,Congenital,-,0
6591,Absent glenoid fossa,,-,Congenital,-,0
6593,Anomalous rib insertion to vertebrae,754,Congenital musculoskeletal deformities of spine,Congenital,1,0
6595,Scapulohumeral synostosis,741.2,Stiffness of joint,Congenital,1,0
6597,Diaphragmatic paralysis,513.8,Disorders of diaphragm,,0,4
6598,Irregular ossification at anterior rib ends,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
6600,Progressive calcification of costochondral cartilage,,-,,-,0
6603,"Flared, irregular rib ends",,-,Congenital,-,0
6608,Midclavicular hypoplasia,,-,Congenital,-,0
6610,Wide intermamillary distance,,-,,-,0
6615,Absent in utero rib ossification,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
6619,Anterior rib punctate calcifications,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
6628,Absent sternal ossification,,-,,-,0
6633,Glenoid fossa hypoplasia,,-,Congenital,-,0
6637,Sternal punctate calcifications,,-,,-,0
6638,Midclavicular aplasia,,-,Congenital,-,0
6640,Multiple rib fractures,807,Fracture of ribs,,0,0
6642,Large sternal ossification centers,,-,,-,0
6643,Fused sternal ossification centers,,-,,-,0
6644,Thoracic dysplasia,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
6645,Thin clavicles,,-,,-,0
6646,Costal cartilage calcification,,-,,-,0
6650,Thickening of the lateral border of the scapula,,-,,-,0
6657,Hypoplasia of first ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
6660,Aplastic clavicles,,-,Congenital,-,0
6665,Coat hanger sign of ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
6670,Impaired myocardial contractility,,-,,-,0
6671,Paroxysmal atrial tachycardia,427.1,"Paroxysmal tachycardia, unspecified",,0,1
6673,Reduced systolic function,428.1,Congestive heart failure (CHF) NOS,,0,1
6677,Prolonged QRS complex,426.32,Left bundle branch block,,0,2
6682,Ventricular extrasystoles,427.6,Premature beats,,0,4
6684,Ventricular preexcitation with multiple accessory pathways,,-,,-,0
6685,Endocardial fibrosis,425.1,Primary/intrinsic cardiomyopathies,,0,0
6687,Aortic tortuosity,,-,,-,0
6689,Bacterial endocarditis,420.3,Endocarditis,,0,0
6691,Pulmonic valve myxoma,212,Benign neoplasm of respiratory and intrathoracic organs,,0,0
6692,Short chordae tendineae of the tricuspid valve,,-,Congenital,-,0
6695,Atrioventricular canal defect,747.11,Cardiac shunt/ heart septal defect,Congenital,1,0
6698,Ventricular aneurysm,411.41,Aneurysm and dissection of heart,,0,2
6699,Ectopic supraventricular rhythms,427,Cardiac dysrhythmias,,0,1
6703,Aplasia/Hypoplasia of the lungs,,-,Congenital,-,0
6706,Cystic liver disease,750.22,"Congenital anomaly of gallbladder, bile ducts, liver, pancreas",Congenital,1,0
6709,Aplasia/Hypoplasia of the nipples,,-,Congenital,-,0
6714,Aplasia/Hypoplasia of the sternum,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
6715,Glomus tympanicum paraganglioma,194,Cancer of other endocrine glands,,0,0
6716,Hereditary nonpolyposis colorectal carcinoma,153,Colorectal cancer,,0,1
6719,Benign gastrointestinal tract tumors,211,Benign neoplasm of other parts of digestive system,,0,1
6721,Acute lymphatic leukemia,204.11,"Lymphoid leukemia, acute",,0,0
6722,Small intestine carcinoid,159.2,"Malignant neoplasm of small intestine, including duodenum",,0,1
6723,Intestinal carcinoid,159.2,"Malignant neoplasm of small intestine, including duodenum",,0,0
6725,Pancreatic adenocarcinoma,157,Pancreatic cancer,,0,2
6727,T-cell acute lymphoblastic leukemias,204.11,"Lymphoid leukemia, acute",,0,0
6731,Follicular thyroid carcinoma,193,Thyroid cancer,,0,0
6733,Acute megakaryocytic leukemia,204,Leukemia,,0,0
6735,Renal cortical adenoma,,-,,-,0
6737,Extraadrenal pheochromocytoma,227.1,Benign neoplasm of adrenal gland,,0,0
6739,Squamous cell carcinoma of the skin,172.22,Squamous cell carcinoma,,0,3
6740,Transitional cell carcinoma of the bladder,189.2,Cancer of bladder,,0,1
6743,Embryonal rhabdomyosarcoma,170.2,Cancer of connective tissue,,0,0
6744,Adrenocortical carcinoma,194,Cancer of other endocrine glands,,0,2
6747,Ganglioneuroblastoma,170.2,Cancer of connective tissue,,0,1
6748,Adrenal pheochromocytoma,227.1,Benign neoplasm of adrenal gland,,0,0
6753,Neoplasm of the stomach,151,Cancer of stomach,,0,4
6755,Cutaneous leiomyosarcoma,170.2,Cancer of connective tissue,,0,0
6756,Diffuse leiomyomatosis,,-,,-,0
6758,Malignant genitourinary tract tumor,189,Cancer of urinary organs (incl. kidney and bladder),,0,1
6765,Chondrosarcoma,170.1,Bone cancer,,0,1
6766,Papillary renal cell carcinoma,189.11,"Malignant neoplasm of kidney, except pelvis",,0,1
6767,Pituitary prolactin cell adenoma,227.3,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch),,0,1
6769,Myxoid subcutaneous tumors,,-,,-,0
6771,Duodenal carcinoma,159.2,"Malignant neoplasm of small intestine, including duodenum",,0,3
6772,Renal angiomyolipoma,214,Lipoma,,0,3
6774,Ovarian papillary adenocarcinoma,184.11,Malignant neoplasm of ovary,,0,0
6775,Multiple myeloma,204.4,Multiple myeloma,,0,1
6778,Benign genitourinary tract neoplasm,223,Benign neoplasm of kidney and other urinary organs,,0,1
6779,Alveolar rhabdomyosarcoma,170.2,Cancer of connective tissue,,0,0
6780,Parathyroid carcinoma,194,Cancer of other endocrine glands,,0,1
6781,Hurthle cell thyroid adenoma,226,Benign neoplasm of thyroid glands,,0,1
6782,Malignant eosinophil proliferation,,-,,-,0
6783,Posterior pharyngeal cleft,,-,Congenital,-,0
6784,Paranasal sinus hypoplasia,,-,Congenital,-,0
6785,Limb-girdle muscular dystrophy,359.1,Muscular dystrophies,,0,3
6789,Mitochondrial encephalopathy,348.8,"Encephalopathy, not elsewhere classified",,0,1
6794,Loss of ability to walk in first decade,741.3,Difficulty in walking,Pediatric,1,0
6799,Basal ganglia cysts,348.4,Cerebral cysts,,0,1
6801,Hyperactive deep tendon reflexes,350.5,Abnormal reflex,,0,2
6802,Abnormal anterior horn cell morphology,,-,,-,0
6808,Cerebral hypomyelination,,-,,-,0
6812,White mater abnormalities in the posterior periventricular region,,-,,-,0
6813,Hemiclonic seizures,345.11,Generalized convulsive epilepsy,,0,1
6817,Aplasia/Hypoplasia of the  cerebellar vermis,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
6818,Type I lissencephaly,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
6821,"Polymicrogyria, anterior to posterior gradient",752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
6824,Cranial nerve paralysis,352,Disorders of other cranial nerves,,0,8
6825,Pallor of dorsal columns of the spinal cord,,-,,-,0
6827,Atrophy of the spinal cord,334.2,Anterior horn cell disease,,0,2
6829,Severe muscular hypotonia,350.3,Lack of coordination,,0,9
6834,Developmental stagnation at onset of seizures,,-,Pediatric,-,0
6844,Absent patellar reflexes,350.5,Abnormal reflex,,0,0
6846,Acute encephalopathy,323,Encephalitis,,0,3
6849,Hypodysplasia of the corpus callosum,,-,,-,0
6850,Hypoplasia of the ventral pons,,-,Congenital,-,0
6851,Symmetric spinal nerve root neurofibromas,199.4,Neurofibromatosis,,0,1
6852,Episodic generalized hypotonia,350.3,Lack of coordination,,0,1
6855,Cerebellar vermis atrophy,,-,,-,0
6858,Impaired distal proprioception,,-,,-,0
6859,Posterior leukoencephalopathy,348.8,"Encephalopathy, not elsewhere classified",,0,1
6870,Lobar holoprosencephaly,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
6872,Cerebral hypoplasia,,-,Congenital,-,0
6873,Symmetrical progressive peripheral demyelination,357,Inflammatory and toxic neuropathy,,0,1
6879,Pontocerebellar atrophy,334.1,Spinocerebellar disease,,0,1
6880,Cerebellar hemangioblastoma,759,Other and unspecified congenital anomalies,Congenital,1,0
6882,Severe hydrocephalus,331.1,Hydrocephalus,,0,0
6886,Impaired distal vibration sensation,,-,,-,0
6887,"Intellectual disability, progressive",315.3,Mental retardation,,0,7
6888,Meningoencephalocele,752.1,Neural tube defects,Congenital,1,0
6891,Thick cerebral cortex,,-,,-,0
6892,Frontotemporal cerebral atrophy,290.12,Dementia with cerebral degenerations,,0,1
6894,Hypoplastic olfactory lobes,,-,Congenital,-,0
6895,Lower limb hypertonia,772.2,Spasm of muscle,,0,0
6896,Hypnopompic hallucinations,292.6,Hallucinations,,0,0
6901,Impaired thermal sensitivity,,-,,-,0
6904,Late-onset spinocerebellar degeneration,334.1,Spinocerebellar disease,,0,1
6913,Frontal cortical atrophy,331,Other cerebral degenerations,,0,0
6915,Inability to walk by childhood/adolescence,741.3,Difficulty in walking,Pediatric,1,0
6916,Intraaxonal accumulation of curvilinear autofluorescent lipopigment storage material,,-,,-,0
6918,Diffuse cerebral sclerosis,341,Other demyelinating diseases of central nervous system,Congenital,1,0
6927,Unilateral polymicrogyria,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
6929,Hypoglycemic encephalopathy,251.1,Hypoglycemia,,0,0
6930,Frontoparietal cortical dysplasia,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
6931,Lipoma of corpus callosum,214,Lipoma,,0,0
6934,Congenital nystagmus,378.2,Nystagmus and other irregular eye movements,Congenital,1,0
6937,Impaired distal tactile sensation,,-,,-,0
6938,Impaired vibration sensation at ankles,,-,,-,0
6943,Diffuse spongiform leukoencephalopathy,323.8,"Encephalitis, non-infectious",,0,1
6946,Recurrent meningitis,320,Meningitis,,0,1
6949,Episodic peripheral neuropathy,356,Hereditary and idiopathic peripheral neuropathy,,0,1
6951,Retrocerebellar cyst,348.4,Cerebral cysts,,0,1
6955,Olivopontocerebellar hypoplasia,,-,Congenital,-,0
6956,Dilation of lateral ventricles,348.9,"Other conditions of brain, NOS",,0,3
6957,Loss of ability to walk,741.3,Difficulty in walking,Pediatric,1,0
6958,Abnormal auditory evoked potentials,,-,,-,0
6960,Choroid plexus calcification,348.9,"Other conditions of brain, NOS",,0,2
6961,Jerky head movements,350.1,Abnormal involuntary movements,,0,1
6962,"Gait instability, worse in the dark",350.2,Abnormality of gait,,0,1
6964,Cerebral cortical neurodegeneration,290.12,Dementia with cerebral degenerations,,0,1
6965,Acute necrotizing encephalopathy,323,Encephalitis,,0,1
6970,Periventricular leukomalacia,656,Other perinatal conditions of fetus or newborn,Congenital,1,0
6978,Dysmyelinating leukodystrophy,331,Other cerebral degenerations,,0,1
6979,Sleep-wake cycle disturbance,327.6,Circadian rhythm sleep disorder,,0,1
6980,Progressive leukoencephalopathy,324,Other CNS infection and poliomyelitis,,0,2
6984,Distal sensory loss of all modalities,,-,,-,0
6986,Upper limb spasticity,350.1,Abnormal involuntary movements,,0,2
6989,Dysplastic corpus callosum,,-,Congenital,-,0
6992,Anterior basal encephalocele,752.1,Neural tube defects,Congenital,1,0
6994,Diffuse leukoencephalopathy,323.8,"Encephalitis, non-infectious",,0,1
6999,Basal ganglia gliosis,,-,,-,0
7001,Loss of Purkinje cells in the cerebellar vermis,,-,,-,0
7002,Motor axonal neuropathy,356,Hereditary and idiopathic peripheral neuropathy,,0,3
7006,Dorsal column degeneration,334,Degenerative disease of the spinal cord,,0,0
7007,Cavitation of the basal ganglia,348.9,"Other conditions of brain, NOS",,0,0
7009,Central nervous system degeneration,331,Other cerebral degenerations,,0,1
7010,Poor fine motor coordination,350.3,Lack of coordination,,0,0
7015,Poor gross motor coordination,350.3,Lack of coordination,,0,0
7016,Corticospinal tract hypoplasia,,-,Congenital,-,0
7017,Progressive forgetfulness,292.3,Memory loss,,0,1
7018,Attention deficit hyperactivity disorder,313.1,Attention deficit hyperactivity disorder,,0,7
7020,Progressive spastic paraplegia,334.1,Spinocerebellar disease,,0,1
7021,Pain insensitivity,,-,,-,0
7023,Antenatal intracerebral hemorrhage,430.2,Intracerebral hemorrhage,Infantile,1,0
7024,Pseudobulbar paralysis,334.2,Anterior horn cell disease,,0,4
7030,Nonprogressive encephalopathy,348.8,"Encephalopathy, not elsewhere classified",,0,1
7033,Cerebellar dysplasia,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
7034,Generalized hyperreflexia,350.5,Abnormal reflex,,0,1
7035,Anterior encephalocele,752.1,Neural tube defects,Congenital,1,0
7039,Symmetric lesions of the basal ganglia,333.8,Other degenerative diseases of the basal ganglia,,0,1
7041,Chronic lymphocytic meningitis,320,Meningitis,,0,1
7042,Focal white matter lesions,,-,,-,0
7047,Atrophy of the dentate nucleus,,-,,-,0
7048,Large basal ganglia,,-,,-,0
7052,Multifocal cerebral white matter abnormalities,,-,,-,0
7057,Poor hand-eye coordination,350.3,Lack of coordination,,0,0
7058,Generalized cerebral atrophy/hypoplasia,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
7063,Aplasia of the inferior half of the cerebellar vermis,,-,Congenital,-,0
7064,Progressive language deterioration,292.1,Aphasia/speech disturbance,,0,1
7065,Disorganization of the anterior cerebellar vermis,,-,,-,0
7067,Distal peripheral sensory neuropathy,356,Hereditary and idiopathic peripheral neuropathy,,0,1
7068,Inferior vermis hypoplasia,,-,Congenital,-,0
7074,Thick corpus callosum,,-,,-,0
7076,Extrapyramidal muscular rigidity,333,Extrapyramidal disease and abnormal movement disorders,,0,1
7078,Decreased amplitude of sensory action potentials,,-,,-,0
7086,Social and occupational deterioration,,-,,-,0
7087,Involuntary jerking movements,350.1,Abnormal involuntary movements,,0,1
